2012-09-17	 	2012-09-14	 	ESPRESSO HOUSE	 	-30,00	 	46,42
2012-09-17	 	2012-09-14	 	FORMAGGIO AB	 	-79,00	 	76,42
2012-09-17	 	2012-09-13	 	COOP KONSUM BE	 	-92,85	 	155,42
2012-09-14	 	2012-09-12	 	SSP BURGER KIN	 	-34,00	 	248,27
2012-09-14	 	2012-09-12	 	COOP KONSUM KI	 	-24,90	 	282,27
2012-09-12	 	2012-09-12	 	BANKOMAT 19.50	 	-200,00	 	307,17
2012-09-12	 	2012-09-09	 	HARD ROCK CAFE	 	-240,00	 	507,17
2012-09-12	 	2012-09-11	 	BERGSHAMRA KEM	 	-200,00	 	747,17
2012-09-12	 	2012-09-12	 	THS	 	-330,00	 	947,17
2012-09-11	 	2012-09-10	 	SPOTIFY UNIMAN	 	-99,00	 	1 277,17
2012-09-11	 	2012-09-10	 	SUBWAY RESTAUR	 	-35,00	 	1 376,17
2012-09-10	 	2012-09-08	 	COOP KONSUM BE	 	-34,45	 	1 411,17
2012-09-10	 	2012-09-08	 	MAXI ICA STORM	 	-32,00	 	1 445,62
2012-09-10	 	2012-09-07	 	SSP BURGER KIN	 	-34,00	 	1 477,62
2012-09-10	 	2012-09-07	 	COOP NARA KRIS	 	-53,95	 	1 511,62
2012-09-10	 	2012-09-07	 	COOP KONSUM BE	 	-42,72	 	1 565,57
2012-09-10	 	2012-09-06	 	COOP KONSUM BE	 	-16,90	 	1 608,29
2012-09-10	 	2012-09-10	 	BANKOMAT 12.15	 	-100,00	 	1 625,19
2012-09-10	 	2012-09-09	 	00091702944735	 	1 000,00	 	1 725,19
2012-09-09	 	2012-09-09	 	Överf Mobil	 	500,00	 	725,19
2012-09-07	 	2012-09-06	 	APOTEKET NAJAD	 	-136,00	 	225,19
2012-09-07	 	2012-09-05	 	COOP NARA KRIS	 	-18,70	 	361,19
2012-09-07	 	2012-09-07	 	Överf Mobil	 	-300,00	 	379,89
2012-09-06	 	2012-09-05	 	JÖRGEN LARSSON	 	-248,00	 	679,89
2012-09-06	 	2012-09-06	 	00091702944735	 	400,00	 	927,89
2012-09-05	 	2012-09-03	 	ICA SUPERMARKE	 	-41,90	 	527,89
2012-09-05	 	2012-09-03	 	COOP KONSUM KI	 	-8,50	 	569,79
2012-09-05	 	2012-09-04	 	ICA SUPERMARKE	 	-51,90	 	578,29
2012-09-05	 	2012-09-04	 	VENEDIG	 	-60,00	 	630,19
2012-09-05	 	2012-09-05	 	Överf Mobil	 	300,00	 	690,19
2012-09-04	 	2012-09-04	 	BANKOMAT 21.52	 	-100,00	 	390,19
2012-09-04	 	2012-09-04	 	BANKOMAT 19.22	 	-200,00	 	490,19
2012-09-04	 	2012-09-02	 	COOP KONSUM GU	 	-52,95	 	690,19
2012-09-04	 	2012-09-02	 	MAX STOCKHOLM	 	-10,00	 	743,14
2012-09-03	 	2012-09-01	 	COOP NARA KRIS	 	-47,85	 	753,14
2012-09-03	 	2012-09-01	 	COOP KONSUM BE	 	-46,45	 	800,99
2012-09-03	 	2012-08-31	 	1815 KONTANTEN	 	-200,00	 	847,44
2012-09-03	 	2012-08-31	 	JERNVEGSGRILLE	 	-25,00	 	1 047,44
2012-09-03	 	2012-08-30	 	COOP NARA KRIS	 	-26,95	 	1 072,44
2012-09-03	 	2012-09-03	 	IKANO BANK	 	-100,00	 	1 099,39
2012-08-31	 	2012-08-30	 	PIREN RESTAURA	 	-148,00	 	1 199,39
2012-08-31	 	2012-08-31	 	CENTRALA STUDI	 	-1 710,00	 	1 347,39
2012-08-30	 	2012-08-30	 	Överf Mobil	 	-500,00	 	3 057,39
2012-08-30	 	2012-08-28	 	COOP KONSUM BE	 	-106,04	 	3 557,39
2012-08-30	 	2012-08-30	 	Stående överf	 	1 000,00	 	3 663,43
2012-08-29	 	2012-08-28	 	BARESSO COFFEE	 	-49,00	 	2 663,43
2012-08-29	 	2012-08-29	 	THS FLYGSEKTIO	 	-400,00	 	2 712,43
2012-08-29	 	2012-08-29	 	Ebbas Dansklub	 	-450,00	 	3 112,43
